location,bhk,bath,total_sqft,price_per_sqft,price_lakhs,balcony,society_type,availability
Juhu,1,1.0,496,36571,181.39,2.0,Luxury,1 year
Andheri West,1,1.0,494,28069,138.66,2.0,Premium,1 year
Goregaon East,2,1.0,1137,20108,228.63,2.0,Affordable,6 months
Borivali West,1,1.0,737,15418,113.63,0.0,Mid-Range,6 months
Kurla West,2,2.0,1327,15196,201.65,1.0,Luxury,6 months
Kurla West,4,3.0,2206,15885,350.42,2.0,Premium,6 months
Powai,4,4.0,2455,25556,627.4,2.0,Mid-Range,Ready To Move
Navi Mumbai,2,2.0,1198,12874,154.23,2.0,Luxury,Ready To Move
Ghatkopar East,3,3.0,1479,19554,289.2,2.0,Premium,6 months
Andheri West,1,,687,27643,189.91,0.0,Mid-Range,Ready To Move
Chembur,2,1.0,927,20571,190.69,2.0,Mid-Range,1 year
Vikhroli,2,1.0,902,17087,154.12,0.0,Luxury,Ready To Move
Lower Parel,4,3.0,2160,33576,725.24,1.0,Mid-Range,Ready To Move
Juhu,3,2.0,1882,36456,686.1,0.0,Affordable,Ready To Move
Borivali West,3,3.0,1561,18565,289.8,2.0,Premium,Ready To Move
Navi Mumbai,4,4.0,2072,12453,258.03,0.0,Luxury,6 months
Kandivali East,1,1.0,421,14350,60.41,0.0,Premium,Ready To Move
Chembur,3,3.0,1537,23950,368.11,2.0,Premium,6 months
Kharghar,3,2.0,1687,9495,160.18,0.0,Mid-Range,Ready To Move
Vikhroli,3,3.0,1682,15029,252.79,2.0,Luxury,Ready To Move
Powai,1,1.0,459,25140,115.39,0.0,Premium,1 year
Goregaon East,4,3.0,2552,17779,453.72,2.0,Affordable,6 months
Panvel,2,1.0,1189,9758,116.02,2.0,Luxury,Ready To Move
Kharghar,3,2.0,1787,10018,179.02,2.0,Affordable,Ready To Move
Panvel,1,1.0,565,10581,59.78,1.0,Luxury,Ready To Move
Ghatkopar East,4,4.0,2559,21794,557.71,0.0,Premium,1 year
Chembur,2,2.0,1367,23696,323.92,1.0,Luxury,1 year
Borivali West,4,3.0,2028,17853,362.06,2.0,Affordable,Ready To Move
Malad West,2,2.0,1243,18872,234.58,0.0,Mid-Range,Ready To Move
Andheri West,3,2.0,1584,26232,415.51,0.0,Premium,Ready To Move
Kurla West,1,,484,16856,81.58,0.0,Luxury,Ready To Move
Panvel,3,2.0,1970,7836,154.37,1.0,Premium,6 months
Kharghar,1,1.0,598,12805,76.57,0.0,Luxury,1 year
Kurla West,3,3.0,1283,15072,193.37,1.0,Luxury,Ready To Move
Navi Mumbai,2,2.0,1098,12505,137.3,2.0,Luxury,6 months
Juhu,1,1.0,403,39040,157.33,1.0,Mid-Range,Ready To Move
Thane West,1,1.0,699,13028,91.07,0.0,Luxury,1 year
